group,item,sentence,lexicon,noun,condition
NA,1,John viu feliz Mary.,NA,NA,NA
NA,2,Camilla comeu raivozamente o jantar.,NA,NA,NA
NA,3,Rod escreveu quietamente um poema.,NA,NA,NA
NA,4,Carol leu silenciosamente as instruções.,NA,NA,NA
NA,5,Vlad bebeu rapidamente vinho.,NA,NA,NA
NA,6,Marry carregou graciosamente responsabilidade.,NA,NA,NA
NA,7,A menina estudou tristemente matemática.,NA,NA,NA
NA,8,O menino fechou sonolentamente seus olhos.,NA,NA,NA
NA,9,Gia chutou a bola furiosamente.,NA,NA,NA
NA,10,Tom acordou preguiçosamente.,NA,NA,NA
NA,11,Laura desmaiou rapidamente.,NA,NA,NA
NA,12,Marcus ensinou pacientemente.,NA,NA,NA
NA,13,Jane bebeu ansiosamente.,NA,NA,NA
NA,14,Will dirigiu lentamente.,NA,NA,NA
NA,15,A senhora apresentou confidentemente.,NA,NA,NA
NA,16,O caminhoneiro abraçou seu cachorro gentilmente.,NA,NA,NA
NA,17,Benjamin viu Emma carro vermelho.,NA,NA,NA
NA,18,Scarlet estragou seu computador novo.,NA,NA,NA
NA,19,Liam esbarrou na Michaela bicicleta azul.,NA,NA,NA
NA,20,Zoe comeu uma maçã verde.,NA,NA,NA
NA,21,Ava quebrou Noah garrafa branca.,NA,NA,NA
NA,22,Charlotte comprou Calvin casa velha.,NA,NA,NA
NA,23,A mãe lavou sua filha vestido fedorento.,NA,NA,NA
NA,24,O jardineiro molhou sua esposa flor seca.,NA,NA,NA
NA,25,Harper limpou Chloe nova casa.,NA,NA,NA
NA,26,Emily derrubou Luca azul celular.,NA,NA,NA
NA,27,Ian encontrou Renne rosa bolsa.,NA,NA,NA
NA,28,Dylan fez Kacey nova lição de casa.,NA,NA,NA
NA,29,Ethan arranhou Madison madeira mesa.,NA,NA,NA
NA,30,Olivia cortou Jack longo cabelo.,NA,NA,NA
NA,31,O produtor gravou o cantor gentil voz.,NA,NA,NA
NA,32,O pai comprou a criança amarela bicicleta.,NA,NA,NA
